obs,elapsed,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPDleaf,Qin,Qabs,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Tair,Tleaf,CO2_r_sp
1,0,0.004176989,33.7177778,368.239,165.0059619,16.55963284,36.95565039,0.289920229,2.398014513,0.271760073,0.171386785,237.7261096,27.10899032,26.9165,3.561644441,58.54619946,1.499291959,1500,1264.500045,368.239,399.969,20.55,16.868,1000.01,26.7291,26.9165,400
2,60,0.004153461,33.73809789,368.231,162.7829637,16.33641249,36.95456436,0.286702866,2.397616915,0.268927529,0.169584832,237.7262192,27.1261118,26.9283,3.564115101,58.37680801,1.506555416,1500,1264.50009,368.231,399.972,20.5024,16.8409,999.993,26.7388,26.9283,400
3,120,0.004175961,33.83641467,368.187,162.3170361,16.29013905,36.95125027,0.286944396,2.402550328,0.269174226,0.169738684,237.7246344,27.14533146,26.9685,3.572543331,58.33193,1.513296471,1499.99,1264.49166,368.187,400.024,20.5186,16.8373,999.986,26.7658,26.9685,400
4,180,0.004108831,33.80896829,368.182,159.4684631,16.0045841,36.95150545,0.282371898,2.40400083,0.265155029,0.16718121,237.7245248,27.2047721,27.0229,3.583976395,58.57659155,1.511379339,1499.99,1264.491615,368.182,399.97,20.6512,17.0298,1000.05,26.8045,27.0229,400
5,240,0.004070019,33.92917465,368.101,157.4618876,15.80138419,36.93913118,0.280558672,2.401542397,0.26353879,0.166154802,237.7257233,27.25977415,27.0628,3.592382335,58.82085653,1.505934214,1500,1264.49978,368.101,399.986,20.7916,17.2047,999.988,26.847,27.0628,400
6,300,0.004101624,34.04952242,368.014,157.3087947,15.78429588,36.92636431,0.281558155,2.40022875,0.264411999,0.16671093,237.7261096,27.29548538,27.1211,3.60469564,58.83116325,1.512304678,1500,1264.500045,368.014,400.019,20.8531,17.2384,999.94,26.8924,27.1211,400
7,360,0.004047793,34.07475586,368.003,154.5154505,15.50329722,36.92355598,0.277713094,2.40348167,0.26103829,0.164563598,237.7261096,27.35498249,27.1602,3.612974416,58.93562847,1.511539534,1500,1264.500045,368.003,400.009,20.9442,17.3777,1000.06,26.9356,27.1602,400
8,420,0.00403942,34.09535658,367.99,154.2003229,15.47199579,36.92300785,0.277476828,2.398746361,0.260798729,0.164414064,237.7259426,27.39654744,27.2119,3.62394651,59.16353172,1.50964552,1500,1264.49987,367.99,400.013,21.072,17.5132,1000.02,26.9738,27.2119,400
9,480,0.00404278,34.19195955,367.887,152.9327067,15.3460869,36.91575198,0.276655144,2.40203122,0.260093729,0.163963877,237.7242533,27.42924321,27.2505,3.632157393,59.12308178,1.515040968,1499.99,1264.49161,367.887,399.998,21.0983,17.5366,1000.01,27.0081,27.2505,400
10,540,0.004010337,34.17738927,367.903,152.3272507,15.28701191,36.92141437,0.275634593,2.398844931,0.259170801,0.163378946,237.724744,27.46739977,27.2741,3.637185512,59.35650449,1.508275381,1499.99,1264.491705,367.903,399.992,21.2135,17.6806,999.954,27.0356,27.2741,400
