obs,elapsed,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPDleaf,Qin,Qabs,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Tair,Tleaf,CO2_r_sp
1,0,0.003597068,34.29183384,367.921,128.6866205,12.9315337,36.97185296,0.246767082,2.403463975,0.233506093,0.147073341,237.7246344,27.91664942,27.3811,3.660058787,59.01438435,1.503182298,1499.99,1264.49166,367.921,399.975,21.4639,18.296,999.992,27.3567,27.3811,400
2,60,0.0035789,34.2771532,367.96,127.1834138,12.78016676,36.97486977,0.244968256,2.399979857,0.231876507,0.146040726,237.7262192,27.92598464,27.3815,3.660144529,58.9273249,1.506084038,1500,1264.50009,367.96,399.994,21.4364,18.2845,1000.02,27.3596,27.3815,400
3,120,0.003556824,34.33408982,367.883,124.9026049,12.55069349,36.96629688,0.242994855,2.397366641,0.230093979,0.144910727,237.7274752,27.93896557,27.3898,3.661924083,58.89519643,1.508344354,1500.01,1264.508385,367.883,399.962,21.4321,18.2995,999.979,27.3651,27.3898,400
4,180,0.003589324,34.32716506,367.928,127.3889273,12.7999333,36.96909896,0.245575584,2.406672682,0.232455195,0.146404869,237.7260626,27.93668093,27.4037,3.66490599,58.99206141,1.5065331,1500,1264.500347,367.928,400.011,21.4808,18.3198,1000,27.375,27.4037,400
5,240,0.003609043,34.42698074,367.816,127.2440494,12.78536375,36.95780961,0.246318862,2.403326741,0.233103908,0.146818144,237.7261096,27.95063299,27.4318,3.670940636,58.98070493,1.510530104,1500,1264.500045,367.816,399.995,21.5011,18.3228,1000,27.3944,27.4318,400
6,300,0.003590425,34.4951681,367.753,126.4149122,12.70137422,36.94950533,0.245955941,2.402287377,0.232773407,0.146608871,237.7259582,27.97845756,27.4615,3.677328315,59.24009756,1.504644794,1500,1264.500518,367.753,399.99,21.6244,18.4626,999.907,27.4162,27.4615,400
7,360,0.003613497,34.52004773,367.724,127.448233,12.80482809,36.94553071,0.247336548,2.401660558,0.234006634,0.14739189,237.7259582,28.00127048,27.4873,3.68288508,59.24499828,1.506214971,1500,1264.500518,367.724,399.986,21.6647,18.4832,1000.06,27.4461,27.4873,400
8,420,0.003631716,34.55209313,367.675,127.3598087,12.79608935,36.94102716,0.24758525,2.396609659,0.234202778,0.147518789,237.725953,28.01773125,27.5122,3.688254951,59.14632498,1.512524654,1500,1264.500302,367.675,399.973,21.6551,18.4574,1000.02,27.4672,27.5122,400
9,480,0.003616249,34.62304598,367.656,127.0204981,12.76195115,36.93898216,0.247702286,2.401296504,0.234332156,0.147598681,237.726903,28.03637811,27.5369,3.69358844,59.44147082,1.505106263,1500,1264.50144,367.656,400.013,21.7821,18.5984,1000.01,27.482,27.5369,400
10,540,0.003611067,34.64607854,367.625,126.4273764,12.70272679,36.93693622,0.247239021,2.402975337,0.23392618,0.147340202,237.726,28.04283221,27.5467,3.695706426,59.4682094,1.505573431,1500,1264.5,367.625,399.998,21.7979,18.6191,1000.1,27.4872,27.5467,400
